feature,importance
tot_benes_specialty_year_median,4.88763975406728
alowd_to_pymt_ratio_specialty_year_pct_rank,4.206940547944823
alowd_to_pymt_ratio,4.081796570934325
sbmtd_to_alowd_ratio,3.4466140022009664
alowd_amt_per_bene,3.010934075425163
tot_mdcr_alowd_amt_specialty_year_median,2.9721524333805913
log1p_alowd_amt_per_bene,2.842312404645837
tot_sbmtd_chrg_specialty_year_median,2.822013990036143
log1p_srvcs_per_bene,2.7800944148336866
tot_mdcr_stdzd_amt_specialty_year_median,2.5523905389578623
stdzd_to_pymt_ratio,2.437754364198908
sbmtd_chrg_per_bene_specialty_year_pct_rank,2.3581815134241793
sbmtd_to_alowd_ratio_specialty_year_pct_rank,2.3362646059586774
sbmtd_to_pymt_ratio_specialty_year_pct_rank,2.32460745232539
alowd_amt_per_bene_specialty_year_pct_rank,2.259747154546613
srvcs_per_bene,2.0883639174126025
tot_benes_specialty_year_pct_rank,2.0435544435117747
tot_srvcs_specialty_year_median,2.0259499988020204
tot_benes_minus_specialty_year_median,1.9869589001349526
srvcs_per_bene_specialty_year_pct_rank,1.9852102068200075
tot_mdcr_pymt_amt_minus_specialty_year_median,1.976889908582751
log1p_sbmtd_chrg_per_srvc,1.9592046229443227
tot_mdcr_pymt_amt_specialty_year_median,1.881516695792753
pymt_amt_per_bene_specialty_year_pct_rank,1.849339746645769
log1p_pymt_amt_per_bene,1.7996838477790411
rndrng_prvdr_type,1.7739201858585254
log1p_sbmtd_chrg_per_bene,1.6842949071566065
tot_mdcr_stdzd_amt_minus_specialty_year_median,1.6498970254196967
pymt_amt_per_bene,1.6363747286799113
log1p_alowd_amt_per_srvc,1.535956745091047
pymt_amt_per_srvc,1.449277757380792
log1p_pymt_amt_per_srvc,1.4381005894312175
sbmtd_chrg_per_srvc,1.4296544197199232
log1p_tot_benes,1.3971723066078672
tot_benes,1.373793455290096
tot_mdcr_alowd_amt_minus_specialty_year_median,1.308992382178298
alowd_amt_per_srvc,1.2445341223440454
tot_sbmtd_chrg_specialty_year_pct_rank,1.2327083936142484
tot_mdcr_pymt_amt_specialty_year_pct_rank,1.1939727432177594
tot_srvcs_specialty_year_pct_rank,1.1893766835775392
tot_mdcr_pymt_amt,1.1518648822423299
tot_srvcs,1.1339534634785258
tot_sbmtd_chrg_minus_specialty_year_median,1.1327359190150388
sbmtd_chrg_per_bene,1.0748339638844906
log1p_tot_sbmtd_chrg,1.0457232655713316
sbmtd_to_pymt_ratio,1.041376630859489
tot_mdcr_stdzd_amt_specialty_year_pct_rank,0.8966055276786121
tot_sbmtd_chrg,0.8808494317778712
log1p_tot_mdcr_alowd_amt,0.8597697064598879
log1p_tot_srvcs,0.821935556262623
tot_mdcr_stdzd_amt,0.7783297532751107
log1p_tot_mdcr_pymt_amt,0.5792513291584507
tot_srvcs_minus_specialty_year_median,0.5518558499508072
log1p_tot_mdcr_stdzd_amt,0.4241013273585047
tot_mdcr_alowd_amt,0.40739656497605486
tot_mdcr_alowd_amt_specialty_year_pct_rank,0.3470234393249143
flag_top5pct_sbmtd_to_pymt_ratio_within_specialty_year,0.16988782710590783
flag_top5pct_tot_mdcr_pymt_amt_within_specialty_year,0.11131701163196857
flag_top1pct_sbmtd_to_pymt_ratio_within_specialty_year,0.08738317868455545
flag_top5pct_srvcs_per_bene_within_specialty_year,0.023454459473443455
flag_top1pct_tot_mdcr_alowd_amt_within_specialty_year,0.012053429813215229
flag_top1pct_srvcs_per_bene_within_specialty_year,0.007719362673397132
flag_top1pct_tot_srvcs_within_specialty_year,0.0064355624694067935
flag_top5pct_tot_srvcs_within_specialty_year,0.0
flag_top5pct_tot_mdcr_alowd_amt_within_specialty_year,0.0
flag_top1pct_tot_mdcr_pymt_amt_within_specialty_year,0.0
