column,dtype
npi_clean,str
summary_year,int64
rndrng_prvdr_type,str
target_excluded_24m,int64
tot_benes,int64
tot_srvcs,float64
tot_sbmtd_chrg,float64
tot_mdcr_alowd_amt,float64
tot_mdcr_pymt_amt,float64
tot_mdcr_stdzd_amt,float64
tot_benes_missing,int64
tot_srvcs_missing,int64
tot_sbmtd_chrg_missing,int64
tot_mdcr_alowd_amt_missing,int64
tot_mdcr_pymt_amt_missing,int64
tot_mdcr_stdzd_amt_missing,int64
srvcs_per_bene,float64
sbmtd_chrg_per_bene,float64
alowd_amt_per_bene,float64
pymt_amt_per_bene,float64
sbmtd_chrg_per_srvc,float64
alowd_amt_per_srvc,float64
pymt_amt_per_srvc,float64
sbmtd_to_alowd_ratio,float64
alowd_to_pymt_ratio,float64
stdzd_to_pymt_ratio,float64
sbmtd_to_pymt_ratio,float64
log1p_tot_benes,float64
log1p_tot_srvcs,float64
log1p_tot_sbmtd_chrg,float64
log1p_tot_mdcr_alowd_amt,float64
log1p_tot_mdcr_pymt_amt,float64
log1p_tot_mdcr_stdzd_amt,float64
log1p_srvcs_per_bene,float64
log1p_sbmtd_chrg_per_bene,float64
log1p_alowd_amt_per_bene,float64
log1p_pymt_amt_per_bene,float64
log1p_sbmtd_chrg_per_srvc,float64
log1p_alowd_amt_per_srvc,float64
log1p_pymt_amt_per_srvc,float64
tot_benes_specialty_year_median,float64
tot_benes_minus_specialty_year_median,float64
tot_benes_specialty_year_pct_rank,float64
tot_srvcs_specialty_year_median,float64
tot_srvcs_minus_specialty_year_median,float64
tot_srvcs_specialty_year_pct_rank,float64
tot_sbmtd_chrg_specialty_year_median,float64
tot_sbmtd_chrg_minus_specialty_year_median,float64
tot_sbmtd_chrg_specialty_year_pct_rank,float64
tot_mdcr_alowd_amt_specialty_year_median,float64
tot_mdcr_alowd_amt_minus_specialty_year_median,float64
tot_mdcr_alowd_amt_specialty_year_pct_rank,float64
tot_mdcr_pymt_amt_specialty_year_median,float64
tot_mdcr_pymt_amt_minus_specialty_year_median,float64
tot_mdcr_pymt_amt_specialty_year_pct_rank,float64
tot_mdcr_stdzd_amt_specialty_year_median,float64
tot_mdcr_stdzd_amt_minus_specialty_year_median,float64
tot_mdcr_stdzd_amt_specialty_year_pct_rank,float64
srvcs_per_bene_specialty_year_pct_rank,float64
sbmtd_chrg_per_bene_specialty_year_pct_rank,float64
alowd_amt_per_bene_specialty_year_pct_rank,float64
pymt_amt_per_bene_specialty_year_pct_rank,float64
sbmtd_to_alowd_ratio_specialty_year_pct_rank,float64
alowd_to_pymt_ratio_specialty_year_pct_rank,float64
sbmtd_to_pymt_ratio_specialty_year_pct_rank,float64
flag_top1pct_tot_srvcs_within_specialty_year,int64
flag_top5pct_tot_srvcs_within_specialty_year,int64
flag_top1pct_tot_mdcr_pymt_amt_within_specialty_year,int64
flag_top5pct_tot_mdcr_pymt_amt_within_specialty_year,int64
flag_top1pct_tot_mdcr_alowd_amt_within_specialty_year,int64
flag_top5pct_tot_mdcr_alowd_amt_within_specialty_year,int64
flag_top1pct_srvcs_per_bene_within_specialty_year,int64
flag_top5pct_srvcs_per_bene_within_specialty_year,int64
flag_top1pct_sbmtd_to_pymt_ratio_within_specialty_year,int64
flag_top5pct_sbmtd_to_pymt_ratio_within_specialty_year,int64
