rndrng_prvdr_type,count_top1000
Internal Medicine,615
Family Practice,220
Podiatry,29
Physical Medicine and Rehabilitation,19
Emergency Medicine,18
Otolaryngology,10
Neurology,9
Hospitalist,9
Endocrinology,9
Pulmonary Disease,8
Orthopedic Surgery,8
Chiropractic,8
Cardiology,7
Hematology-Oncology,5
Pain Management,4
Rheumatology,4
Nephrology,4
General Surgery,2
Sports Medicine,2
Infectious Disease,2
Dermatology,1
Obstetrics & Gynecology,1
Sleep Medicine,1
Medical Oncology,1
Urology,1
Gastroenterology,1
Hand Surgery,1
Geriatric Medicine,1
